npi,name,n_lines,mean_medicare_mult,median_medicare_mult,win_rate
1801458708,INTEGRATIVE EMERGENCY SERVICES PHYSICIAN GROUP HOUSTON PLLC,6,7.35,6.59,66.7
1396304499,ALEXANDRIA EP,10,7.31,7.11,60.0
1457511743,"Physiologic Assessment Services, LLC",1,7.28,7.28,0.0
1679263883,ER of Mesquite LLC,1,7.25,7.25,100.0
1437678430,"Totalcare ER Benbrook, PLLC",169,7.19,4.53,82.8
1881378693,PROCARE WICHITA FALLS LLC,3,7.18,5.43,100.0
1891723870,"AMANDA GUMBERT, PA-C",2,7.12,7.07,100.0
1073568903,"RONALD HILLOCK, MD",1,7.08,7.08,100.0
1578933818,"TEXARKANA ER, LLC",18,7.05,6.52,94.4
1689769911,St. Bernardine Medical Center,3,7.04,7.12,100.0
1053795088,"EMERGENCY MEDICINE SPECIALISTS, INC.",6,7.03,3.32,100.0
1366925760,"KIMIAGAREE, MAURICE",1,7.01,7.01,0.0
1447603683,"Exos Surgical Assist, PLLC",15,6.98,6.07,100.0
1992172803,"KELLY ANN CONNORS, CSA",2,6.97,3.5,100.0
1689121188,Arizona General Hospital - Mesa,1,6.96,6.96,100.0
1376012526,EMCC Stephenville Physicians PLLC,22,6.92,4.59,90.9
1750921029,TOPEKA ER & HOSPITAL,12,6.91,6.38,91.7
1750487096,Sensory Testing Systems,199,6.88,7.43,60.8
1891741641,LAFAYETTE EMERGENCY PHYSICIANS INC,11,6.87,6.08,72.7
1588640791,"EMERGENCY MEDICINE SPECIALISTS, INC.",42,6.87,7.1,85.7
1083757744,"KARAN NEJAD, MD",2,6.87,6.87,100.0
1710477724,"EMERGENCY MEDICINE SPECIALISTS, INC.",8,6.85,4.38,87.5
1164087375,Thomas Murray,8,6.81,6.61,75.0
1720050701,"PANAGIOTIS MANOLAS, MD",9,6.74,7.19,100.0
1295846426,Colorado Surgical & Critical Care Assoc.,1,6.73,6.73,100.0
1871954644,"SAFE SPINE INTRAOPERATIVE MONITORING, PLLC",3,6.71,6.59,33.3
1306897277,Medical City Decatur,1,6.7,6.7,100.0
1104435882,"DEANNA GETTY, PA",2,6.69,5.54,100.0
1356318950,"ROY D VINGAN, DR",1,6.67,6.67,100.0
1871139469,Steven Fussner MD,2,6.64,6.51,50.0
1275070369,"CLINT BROCK, CRNA",1,6.64,6.64,100.0
